File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF082PNM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF285FIN/, /files/ENCFF086MCV/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	7005055	ENCODE Processing Pipeline	84bfea1b99598799946741b1cb8da22d		https://www.encodeproject.org/files/ENCFF082PNM/@@download/ENCFF082PNM.bed.gz				released	s3://encode-public/2016/12/03/0d91d0c6-a039-41a5-a178-7351e73313b1/ENCFF082PNM.bed.gz	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF768BPC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF001TDO/, /files/ENCFF039BYF/, /files/ENCFF712NLB/, /files/ENCFF082PNM/	348369	ENCODE Processing Pipeline	d359d1a080e0eb9236168fd93e3a2dff		https://www.encodeproject.org/files/ENCFF768BPC/@@download/ENCFF768BPC.bed.gz				released	s3://encode-public/2016/12/03/05a5e3a3-a572-4372-aef4-f80cba45ee94/ENCFF768BPC.bed.gz	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF165KWB	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF001TDO/, /files/ENCFF039BYF/, /files/ENCFF712NLB/, /files/ENCFF082PNM/	239317	ENCODE Processing Pipeline	2e7ab11c948337f2142551bb7caac445		https://www.encodeproject.org/files/ENCFF165KWB/@@download/ENCFF165KWB.bed.gz				released	s3://encode-public/2016/12/03/4d005d96-8225-4e81-a150-eb81ccb9a942/ENCFF165KWB.bed.gz	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF039BYF	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1	1_1							/files/ENCFF285FIN/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6513069	ENCODE Processing Pipeline	2e78380b77ef70ab29aae53dea3179b3		https://www.encodeproject.org/files/ENCFF039BYF/@@download/ENCFF039BYF.bed.gz				released	s3://encode-public/2016/12/03/9b5941b2-d186-4ca9-9d3f-24b662856c11/ENCFF039BYF.bed.gz	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF712NLB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	2	2_1, 2_2							/files/ENCFF086MCV/, /files/ENCFF727XHW/, /files/ENCFF243MTV/	6800166	ENCODE Processing Pipeline	70988bbb9db02fb9077af0e48bc10bfe		https://www.encodeproject.org/files/ENCFF712NLB/@@download/ENCFF712NLB.bed.gz				released	s3://encode-public/2016/12/03/cfdb14d3-75c1-4fba-9c97-01b42276380d/ENCFF712NLB.bed.gz	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF264FJY	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	2	2_1, 2_2							/files/ENCFF064DDT/, /files/ENCFF984CRF/, /files/ENCFF504ZFN/	6669980	ENCODE Processing Pipeline	f9585ce4ea0c11aa7b05203c5b554fea		https://www.encodeproject.org/files/ENCFF264FJY/@@download/ENCFF264FJY.bed.gz				released	s3://encode-public/2016/12/10/2698e3d3-7dfd-450c-8c48-9495a58d331d/ENCFF264FJY.bed.gz	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF267QXC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1	1_1							/files/ENCFF098PQX/, /files/ENCFF504ZFN/, /files/ENCFF064DDT/	6507574	ENCODE Processing Pipeline	eec92e8af4b5ba1df114f1772302f238		https://www.encodeproject.org/files/ENCFF267QXC/@@download/ENCFF267QXC.bed.gz				released	s3://encode-public/2016/12/10/af254db1-dc54-45d4-992f-08558f9d3a5f/ENCFF267QXC.bed.gz	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF855ANW	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF098PQX/, /files/ENCFF984CRF/, /files/ENCFF504ZFN/, /files/ENCFF064DDT/	6808165	ENCODE Processing Pipeline	1610830eafb588e43637dac1a8b0b6bc		https://www.encodeproject.org/files/ENCFF855ANW/@@download/ENCFF855ANW.bed.gz				released	s3://encode-public/2016/12/10/34cdaeb4-d90a-482c-87d7-68ffa0645b11/ENCFF855ANW.bed.gz	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF412MLF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF267QXC/, /files/ENCFF855ANW/, /files/ENCFF264FJY/, /files/ENCFF419RSJ/	237794	ENCODE Processing Pipeline	4f6f25b339738fc3bebeed7c0a7a586a		https://www.encodeproject.org/files/ENCFF412MLF/@@download/ENCFF412MLF.bed.gz				released	s3://encode-public/2016/12/10/13f7b99b-8838-40d4-886c-3248189ee665/ENCFF412MLF.bed.gz	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
ENCFF562OAN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR418RRF	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA						2016-12-06	ENCODE		sonication (generic)	300-600, 200-600	1, 2	1_1, 2_1, 2_2							/files/ENCFF267QXC/, /files/ENCFF855ANW/, /files/ENCFF264FJY/, /files/ENCFF419RSJ/	360272	ENCODE Processing Pipeline	3a4ecb92e0a2dd51a44be48fae9384af		https://www.encodeproject.org/files/ENCFF562OAN/@@download/ENCFF562OAN.bed.gz				released	s3://encode-public/2016/12/10/bd5744eb-1bca-4843-8300-7384db7169c4/ENCFF562OAN.bed.gz	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance		
