File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001YIV	bed narrowPeak	bed	narrowPeak	peaks	mm9	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF001NNL/, /files/ENCFF001NND/	209688	Michael Snyder, Stanford	3fa097e8da268063a6d2b4480b07bbc4		https://www.encodeproject.org/files/ENCFF001YIV/@@download/ENCFF001YIV.bed.gz				archived	s3://encode-public/2012/08/01/139aa827-0423-4d38-89fd-390f567b3d6c/ENCFF001YIV.narrowPeak.gz	Lab custom mm9	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF622XHL	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF724VSZ/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/	3391167	ENCODE Processing Pipeline	5685457e1b81f284768f251362f44c9f		https://www.encodeproject.org/files/ENCFF622XHL/@@download/ENCFF622XHL.bed.gz				released	s3://encode-public/2016/11/15/8b8830c4-9305-4b84-9a83-93a859989c74/ENCFF622XHL.bed.gz	ENCODE3 mm10	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF199OAD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF226MZU/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/	5806231	ENCODE Processing Pipeline	a27bc49f77c6b20f480fd3b713aa8aa6		https://www.encodeproject.org/files/ENCFF199OAD/@@download/ENCFF199OAD.bed.gz				released	s3://encode-public/2016/11/15/de3f2bb1-36a1-4352-b195-1d1e7e47e623/ENCFF199OAD.bed.gz	ENCODE3 mm10	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF431QAW	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF724VSZ/, /files/ENCFF226MZU/, /files/ENCFF966YUS/, /files/ENCFF074LDJ/	6001756	ENCODE Processing Pipeline	a840501463c737d90c0a45ca40dd1365		https://www.encodeproject.org/files/ENCFF431QAW/@@download/ENCFF431QAW.bed.gz				released	s3://encode-public/2016/11/15/0d8e99ad-f062-4033-b429-19655dadbeb6/ENCFF431QAW.bed.gz	ENCODE3 mm10	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF030DBG	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF431QAW/, /files/ENCFF547MET/, /files/ENCFF622XHL/, /files/ENCFF199OAD/	158477	ENCODE Processing Pipeline	98b1480e16e1e29955301dbf2cb7a120		https://www.encodeproject.org/files/ENCFF030DBG/@@download/ENCFF030DBG.bed.gz				released	s3://encode-public/2016/11/15/d0297e9a-a859-4f9d-9e96-13c0f541885b/ENCFF030DBG.bed.gz	ENCODE3 mm10	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF722CPN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF431QAW/, /files/ENCFF547MET/, /files/ENCFF622XHL/, /files/ENCFF199OAD/	207209	ENCODE Processing Pipeline	29ec5d4f84340fa8a01b6b9475a08ade		https://www.encodeproject.org/files/ENCFF722CPN/@@download/ENCFF722CPN.bed.gz				released	s3://encode-public/2016/11/15/cb915456-54ae-41dc-bcc5-eeb017af9156/ENCFF722CPN.bed.gz	ENCODE3 mm10	archived	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF909ODO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		2	2_1							/files/ENCFF740TUE/, /files/ENCFF224HWC/, /files/ENCFF110OJW/, /files/ENCFF547MET/	171643	ENCODE Processing Pipeline	ebee19fa21542f66ca2ab11cb6c1042f		https://www.encodeproject.org/files/ENCFF909ODO/@@download/ENCFF909ODO.bed.gz				released	s3://encode-public/2020/11/24/8b2b92e8-dc25-4ee8-8f54-0eb7c18b7790/ENCFF909ODO.bed.gz	ENCODE4 v1.6.1 mm10	released	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF058DYG	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF818HEO/, /files/ENCFF110OJW/, /files/ENCFF224HWC/, /files/ENCFF740TUE/	202301	ENCODE Processing Pipeline	1db8851593eafdeef3699c073c6404e1		https://www.encodeproject.org/files/ENCFF058DYG/@@download/ENCFF058DYG.bed.gz				released	s3://encode-public/2020/11/24/94c4a7dd-b5c8-43c8-8936-225b9d172dd8/ENCFF058DYG.bed.gz	ENCODE4 v1.6.1 mm10	released	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF050UVW	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF818HEO/, /files/ENCFF110OJW/, /files/ENCFF224HWC/, /files/ENCFF740TUE/	158401	ENCODE Processing Pipeline	050202bf2469a378dc336bf7374688e6		https://www.encodeproject.org/files/ENCFF050UVW/@@download/ENCFF050UVW.bed.gz				released	s3://encode-public/2020/11/24/7f37e662-2eea-4ffc-b027-ba4178e9e525/ENCFF050UVW.bed.gz	ENCODE4 v1.6.1 mm10	released	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
ENCFF047LVZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000ERX	TF ChIP-seq	/mouse-donors/ENCDO015AAA/	EFO:0007075	ES-E14	cell line	Mus musculus										HCFC1-mouse	DNA						2012-08-16	ENCODE		see document		1	1_1							/files/ENCFF818HEO/, /files/ENCFF224HWC/, /files/ENCFF740TUE/, /files/ENCFF547MET/	59577	ENCODE Processing Pipeline	b8247717bda6dcfeaffcfe6a65657dc9		https://www.encodeproject.org/files/ENCFF047LVZ/@@download/ENCFF047LVZ.bed.gz				released	s3://encode-public/2020/11/24/7377b3b1-3b65-4028-b1a2-e8bbbbc8c78e/ENCFF047LVZ.bed.gz	ENCODE4 v1.6.1 mm10	released	inconsistent platforms, borderline replicate concordance, low read length	insufficient read depth	
